+--------------+-------+---------------------+---------------------+----------+----------+
| userid       | shift | shiftdate           | received            | event_id | position |
| drew44       | 4     | 2010-01-09 00:00:00 | 2010-01-09 00:00:00 |      504 | E2       |
| drew44       | 1     | 2010-01-10 00:00:00 | 2010-01-09 00:00:00 |      505 | E2       |
| drew44       | 2     | 2010-01-10 00:00:00 | 2010-01-09 00:00:00 |      506 | E2       |
| mauree38     | 4     | 2010-01-12 00:00:00 | 2010-01-10 00:00:00 |      508 | E2       |
| drew44       | 1     | 2010-01-13 00:00:00 | 2010-01-12 00:00:00 |      509 | E2       |
| drew44       | 2     | 2010-01-13 00:00:00 | 2010-01-12 00:00:00 |      510 | E2       |
| dave11       | 4     | 2010-01-15 00:00:00 | 2010-01-15 00:00:00 |      511 | D        |
| dave11       | 1     | 2010-01-16 00:00:00 | 2010-01-15 00:00:00 |      512 | D        |
| diane13      | 2     | 2010-01-17 00:00:00 | 2010-01-17 00:00:00 |      513 | E1       |
| diane13      | 3     | 2010-01-17 00:00:00 | 2010-01-17 00:00:00 |      514 | E1       |
| diane13      | 2     | 2010-01-14 00:00:00 | 2010-01-17 00:00:00 |      515 | E1       |
| diane13      | 3     | 2010-01-14 00:00:00 | 2010-01-17 00:00:00 |      516 | E1       |
| mauree38     | 4     | 2010-01-24 00:00:00 | 2010-01-28 00:00:00 |      522 | E1       |
| dave11       | 4     | 2010-01-24 00:00:00 | 2010-01-26 00:00:00 |      521 | D        |
| rond46       | 3     | 2010-01-28 00:00:00 | 2010-01-28 00:00:00 |      523 | E1       |
| mauree38     | 3     | 2010-01-28 00:00:00 | 2010-01-28 00:00:00 |      524 | E2       |
| drew44       | 3     | 2010-01-28 00:00:00 | 2010-01-28 00:00:00 |      525 | D        |
| debbiew9     | 4     | 2010-02-19 00:00:00 | 2010-02-04 00:00:00 |      526 | E2       |
| debbiew9     | 1     | 2010-02-20 00:00:00 | 2010-02-04 00:00:00 |      527 | E2       |
| debbiew9     | 2     | 2010-02-20 00:00:00 | 2010-02-04 00:00:00 |      528 | E2       |
| jan017       | 3     | 2010-02-15 00:00:00 | 2010-02-09 00:00:00 |      529 | E1       |
| dave11       | 3     | 2010-02-14 00:00:00 | 2010-02-14 00:00:00 |      553 | D        |
| dave11       | 2     | 2010-02-15 00:00:00 | 2010-02-09 00:00:00 |      531 | D        |
| dave11       | 3     | 2010-02-15 00:00:00 | 2010-02-09 00:00:00 |      532 | D        |
| mauree38     | 4     | 2010-02-15 00:00:00 | 2010-02-10 00:00:00 |      533 | E1       |
| kristinh40   | 1     | 2010-02-13 00:00:00 | 2010-02-12 00:00:00 |      540 | E1       |
| kristinh40   | 4     | 2010-02-12 00:00:00 | 2010-02-12 00:00:00 |      539 | E1       |
| dennisb01    | 3     | 2010-02-15 00:00:00 | 2010-02-10 00:00:00 |      537 | E2       |
| rond46       | 4     | 2010-02-15 00:00:00 | 2010-02-11 00:00:00 |      538 | D        |
| kristinh40   | 2     | 2010-02-13 00:00:00 | 2010-02-12 00:00:00 |      541 | E1       |
| dave11       | 4     | 2010-02-12 00:00:00 | 2010-02-12 00:00:00 |      542 | D        |
| dave11       | 1     | 2010-02-13 00:00:00 | 2010-02-12 00:00:00 |      543 | D        |
| dave11       | 2     | 2010-02-13 00:00:00 | 2010-02-12 00:00:00 |      544 | D        |
| kristinh40   | 3     | 2010-02-13 00:00:00 | 2010-02-13 00:00:00 |      545 | E1       |
| dave11       | 3     | 2010-02-13 00:00:00 | 2010-02-13 00:00:00 |      546 | D        |
| dave11       | 1     | 2010-02-14 00:00:00 | 2010-02-13 00:00:00 |      547 | D        |
| dave11       | 2     | 2010-02-14 00:00:00 | 2010-02-13 00:00:00 |      548 | D        |
| vickil05     | 3     | 2010-02-13 00:00:00 | 2010-02-16 00:00:00 |      562 | E2       |
| mauree38     | 3     | 2010-02-17 00:00:00 | 2010-02-13 00:00:00 |      550 | E1       |
