+----------------+-------+---------------------+---------------------+----------+----------+
| userid         | shift | shiftdate           | received            | event_id | position |
| kaiap06        | 1     | 2011-01-19 00:00:00 | 2011-01-16 00:00:00 |     1627 | D        |
| kaiap06        | 2     | 2011-01-19 00:00:00 | 2011-01-16 00:00:00 |     1628 | D        |
| dave11         | 3     | 2011-01-30 00:00:00 | 2011-01-16 00:00:00 |     1629 | D        |
| dennisb01      | 3     | 2011-01-18 00:00:00 | 2011-01-16 00:00:00 |     1630 | E1       |
| drew44         | 3     | 2011-01-17 00:00:00 | 2011-01-17 00:00:00 |     1631 | D        |
| paulb31        | 1     | 2011-01-20 00:00:00 | 2011-01-17 00:00:00 |     1632 | D        |
| paulb31        | 1     | 2011-01-21 00:00:00 | 2011-01-17 00:00:00 |     1633 | D        |
| dave11         | 4     | 2011-01-17 00:00:00 | 2011-01-18 00:00:00 |     1634 | D        |
| rond46         | 4     | 2011-01-19 00:00:00 | 2011-01-18 00:00:00 |     1635 | E1       |
| rond46         | 1     | 2011-01-20 00:00:00 | 2011-01-18 00:00:00 |     1636 | E1       |
| paulb31        | 4     | 2011-01-19 00:00:00 | 2011-01-18 00:00:00 |     1637 | D        |
| dennisb01      | 4     | 2011-01-18 00:00:00 | 2011-01-18 00:00:00 |     1638 | E1       |
| dennisb01      | 1     | 2011-01-19 00:00:00 | 2011-01-18 00:00:00 |     1639 | E1       |
| dennisb01      | 2     | 2011-01-19 00:00:00 | 2011-01-18 00:00:00 |     1640 | E1       |
| drew44         | 4     | 2011-01-19 00:00:00 | 2011-01-19 00:00:00 |     1641 | E2       |
| drew44         | 1     | 2011-01-20 00:00:00 | 2011-01-19 00:00:00 |     1642 | E2       |
| dennisb01      | 1     | 2011-01-18 00:00:00 | 2011-01-19 00:00:00 |     1643 | E1       |
| vickil05       | 3     | 2011-01-30 00:00:00 | 2011-01-20 00:00:00 |     1644 | E2       |
| timothyb28     | 4     | 2011-01-22 00:00:00 | 2011-01-21 00:00:00 |     1645 | E2       |
| timothyb28     | 1     | 2011-01-23 00:00:00 | 2011-01-21 00:00:00 |     1646 | E2       |
| rond46         | 4     | 2011-01-27 00:00:00 | 2011-01-27 00:00:00 |     1647 | E1       |
| rond46         | 1     | 2011-01-28 00:00:00 | 2011-01-27 00:00:00 |     1648 | E1       |
| paulb31        | 4     | 2011-01-27 00:00:00 | 2011-01-27 00:00:00 |     1649 | D        |
| paulb31        | 1     | 2011-01-28 00:00:00 | 2011-01-27 00:00:00 |     1650 | D        |
| dennisb01      | 3     | 2011-02-27 00:00:00 | 2011-01-31 00:00:00 |     1651 | E1       |
| dennisb01      | 3     | 2011-02-20 00:00:00 | 2011-01-31 00:00:00 |     1652 | E1       |
| dennisb01      | 3     | 2011-02-13 00:00:00 | 2011-01-31 00:00:00 |     1653 | E1       |
| robc03         | 4     | 2011-02-01 00:00:00 | 2011-02-02 00:00:00 |     1654 | E1       |
| robc03         | 1     | 2011-02-02 00:00:00 | 2011-02-02 00:00:00 |     1655 | E1       |
| paulb31        | 1     | 2011-05-13 00:00:00 | 2011-05-12 00:00:00 |     1857 | E2       |
| rond46         | 1     | 2011-02-04 00:00:00 | 2011-02-02 00:00:00 |     1657 | E1       |
| rond46         | 4     | 2011-02-04 00:00:00 | 2011-02-02 00:00:00 |     1658 | E1       |
| rond46         | 1     | 2011-02-05 00:00:00 | 2011-02-02 00:00:00 |     1659 | E1       |
| dennisb01      | 2     | 2011-02-02 00:00:00 | 2011-02-02 00:00:00 |     1660 | E1       |
| paulb31        | 4     | 2011-02-03 00:00:00 | 2011-02-02 00:00:00 |     1661 | D        |
| paulb31        | 1     | 2011-02-04 00:00:00 | 2011-02-02 00:00:00 |     1662 | D        |
| paulb31        | 4     | 2011-02-04 00:00:00 | 2011-02-02 00:00:00 |     1663 | D        |
| paulb31        | 1     | 2011-02-05 00:00:00 | 2011-02-02 00:00:00 |     1664 | D        |
| drew44         | 4     | 2011-02-03 00:00:00 | 2011-02-02 00:00:00 |     1665 | E2       |
| drew44         | 1     | 2011-02-04 00:00:00 | 2011-02-02 00:00:00 |     1666 | E2       |
| drew44         | 4     | 2011-02-04 00:00:00 | 2011-02-02 00:00:00 |     1667 | E2       |
| drew44         | 1     | 2011-02-05 00:00:00 | 2011-02-02 00:00:00 |     1668 | E2       |
| vickil05       | 3     | 2011-02-04 00:00:00 | 2011-02-05 00:00:00 |     1669 | E2       |
| vickil05       | 3     | 2011-02-13 00:00:00 | 2011-02-05 00:00:00 |     1670 | E2       |
| timothyb28     | 4     | 2011-02-05 00:00:00 | 2011-02-05 00:00:00 |     1671 | E2       |
| timothyb28     | 1     | 2011-02-06 00:00:00 | 2011-02-05 00:00:00 |     1672 | D        |
| christinek29   | 4     | 2011-02-05 00:00:00 | 2011-02-05 00:00:00 |     1673 | D        |
| christinek29   | 1     | 2011-02-06 00:00:00 | 2011-02-05 00:00:00 |     1674 | E2       |
| dennisb01      | 4     | 2011-02-08 00:00:00 | 2011-02-09 00:00:00 |     1689 | E1       |
| dave11         | 4     | 2011-02-08 00:00:00 | 2011-02-10 00:00:00 |     1690 | D        |
| dave11         | 3     | 2011-02-20 00:00:00 | 2011-02-10 00:00:00 |     1691 | D        |
| dave11         | 3     | 2011-02-27 00:00:00 | 2011-02-10 00:00:00 |     1692 | D        |
| paulb31        | 4     | 2011-02-11 00:00:00 | 2011-02-10 00:00:00 |     1693 | D        |
| paulb31        | 1     | 2011-02-12 00:00:00 | 2011-02-10 00:00:00 |     1694 | D        |
| rond46         | 4     | 2011-02-11 00:00:00 | 2011-02-10 00:00:00 |     1695 | E1       |
| rond46         | 1     | 2011-02-12 00:00:00 | 2011-02-10 00:00:00 |     1696 | E1       |
| joant14        | 4     | 2011-02-11 00:00:00 | 2011-02-11 00:00:00 |     1697 | E2       |
| joant14        | 1     | 2011-02-12 00:00:00 | 2011-02-11 00:00:00 |     1698 | E2       |
| joant14        | 2     | 2011-02-12 00:00:00 | 2011-02-11 00:00:00 |     1699 | E2       |
| vickil05       | 1     | 2011-02-15 00:00:00 | 2011-02-15 00:00:00 |     1700 | E1       |
| vickil05       | 3     | 2011-02-20 00:00:00 | 2011-02-20 00:00:00 |     1701 | E2       |
| paulb31        | 1     | 2011-05-14 00:00:00 | 2011-05-12 00:00:00 |     1858 | E2       |
| paulb31        | 4     | 2011-02-24 00:00:00 | 2011-02-24 00:00:00 |     1704 | D        |
| paulb31        | 1     | 2011-02-25 00:00:00 | 2011-02-24 00:00:00 |     1705 | D        |
| timothyb28     | 4     | 2011-02-26 00:00:00 | 2011-02-25 00:00:00 |     1706 | E2       |
| timothyb28     | 1     | 2011-02-27 00:00:00 | 2011-02-25 00:00:00 |     1707 | D        |
| christinek29   | 4     | 2011-02-26 00:00:00 | 2011-02-25 00:00:00 |     1708 | D        |
| christinek29   | 1     | 2011-02-27 00:00:00 | 2011-02-25 00:00:00 |     1709 | E2       |
| dennisb01      | 4     | 2011-02-26 00:00:00 | 2011-02-26 00:00:00 |     1710 | E1       |
