+------------+-------+---------------------+---------------------+----------+----------+
| userid     | shift | shiftdate           | received            | event_id | position |
| dave11     | 3     | 2009-05-13 00:00:00 | 2009-05-14 00:00:00 |       68 | D        |
| dave11     | 4     | 2009-05-13 00:00:00 | 2009-05-14 00:00:00 |       69 | D        |
| dave11     | 4     | 2009-05-10 00:00:00 | 2009-05-14 00:00:00 |       70 | D        |
| dave11     | 2     | 2009-05-11 00:00:00 | 2009-05-14 00:00:00 |       71 | D        |
| dave11     | 1     | 2009-05-15 00:00:00 | 2009-05-14 00:00:00 |       73 | D        |
| drew44     | 4     | 2009-05-15 00:00:00 | 2009-05-15 00:00:00 |       74 | E2       |
| mauree38   | 4     | 2009-05-15 00:00:00 | 2009-05-15 00:00:00 |       75 | E1       |
| mauree38   | 3     | 2009-05-23 00:00:00 | 2009-05-22 00:00:00 |       95 | E1       |
| dawnb12    | 3     | 2009-05-16 00:00:00 | 2009-05-16 00:00:00 |       77 | E1       |
| carolyn2   | 2     | 2009-05-23 00:00:00 | 2009-05-18 00:00:00 |       78 | E2       |
| dawnb12    | 3     | 2009-05-17 00:00:00 | 2009-05-20 00:00:00 |       79 | E1       |
| carolyn2   | 2     | 2009-05-22 00:00:00 | 2009-05-22 00:00:00 |       80 | E2       |
| dawnb12    | 2     | 2009-05-22 00:00:00 | 2009-05-22 00:00:00 |       81 | E1       |
| dawnb12    | 2     | 2009-05-23 00:00:00 | 2009-05-22 00:00:00 |       82 | E1       |
| rond46     | 4     | 2009-05-22 00:00:00 | 2009-05-22 00:00:00 |       83 | E1       |
| rond46     | 1     | 2009-05-23 00:00:00 | 2009-05-22 00:00:00 |       84 | E1       |
| rond46     | 4     | 2009-05-23 00:00:00 | 2009-05-22 00:00:00 |       85 | E1       |
| rond46     | 1     | 2009-05-24 00:00:00 | 2009-05-22 00:00:00 |       86 | E1       |
| mauree38   | 4     | 2009-05-22 00:00:00 | 2009-05-22 00:00:00 |       87 | E2       |
| mauree38   | 3     | 2009-05-22 00:00:00 | 2009-05-22 00:00:00 |       88 | E1       |
| mauree38   | 3     | 2009-05-16 00:00:00 | 2009-05-22 00:00:00 |       89 | E2       |
| drew44     | 4     | 2009-05-22 00:00:00 | 2009-05-22 00:00:00 |       91 | D        |
| drew44     | 3     | 2009-05-22 00:00:00 | 2009-05-22 00:00:00 |       92 | E2       |
| drew44     | 1     | 2009-05-23 00:00:00 | 2009-05-22 00:00:00 |       93 | E2       |
| drew44     | 4     | 2009-05-23 00:00:00 | 2009-05-22 00:00:00 |       94 | E2       |
| dave11     | 4     | 2009-05-21 00:00:00 | 2009-05-23 00:00:00 |       97 | D        |
| dave11     | 3     | 2009-05-21 00:00:00 | 2009-05-23 00:00:00 |       98 | D        |
| dawnb12    | 2     | 2009-05-24 00:00:00 | 2009-05-23 00:00:00 |       99 | E1       |
| rond46     | 3     | 2009-05-23 00:00:00 | 2009-05-23 00:00:00 |      100 | E2       |
| mauree38   | 4     | 2009-05-23 00:00:00 | 2009-05-23 00:00:00 |      101 | D        |
| drew44     | 1     | 2009-05-24 00:00:00 | 2009-05-24 00:00:00 |      102 | E2       |
| carolyn2   | 2     | 2009-05-24 00:00:00 | 2009-05-24 00:00:00 |      103 | E2       |
| drew44     | 4     | 2009-05-25 00:00:00 | 2009-05-25 00:00:00 |      104 | E2       |
| mauree38   | 4     | 2009-05-24 00:00:00 | 2009-05-25 00:00:00 |      105 | E1       |
| mauree38   | 4     | 2009-05-25 00:00:00 | 2009-05-25 00:00:00 |      106 | E1       |
| dawnb12    | 4     | 2009-05-30 00:00:00 | 2009-05-31 00:00:00 |      107 | E1       |
| dawnb12    | 2     | 2009-05-31 00:00:00 | 2009-05-31 00:00:00 |      108 | E1       |
| dawnb12    | 3     | 2009-05-31 00:00:00 | 2009-05-31 00:00:00 |      109 | E1       |
| dave11     | 4     | 2009-05-24 00:00:00 | 2009-06-01 00:00:00 |      110 | D        |
| carolyn2   | 2     | 2009-06-01 00:00:00 | 2009-06-02 00:00:00 |      111 | E2       |
| carolyn2   | 3     | 2009-06-01 00:00:00 | 2009-06-02 00:00:00 |      112 | E2       |
| paulb283   | 2     | 2009-06-18 00:00:00 | 2009-06-18 00:00:00 |      113 | D        |
| paulb283   | 3     | 2009-06-18 00:00:00 | 2009-06-18 00:00:00 |      114 | D        |
| paulb283   | 4     | 2009-06-18 00:00:00 | 2009-06-18 00:00:00 |      115 | D        |
| paulb283   | 1     | 2009-06-19 00:00:00 | 2009-06-18 00:00:00 |      116 | D        |
| paulb283   | 2     | 2009-06-19 00:00:00 | 2009-06-18 00:00:00 |      117 | D        |
| mauree38   | 4     | 2009-06-20 00:00:00 | 2009-06-20 00:00:00 |      135 | E2       |
| dave11     | 4     | 2009-06-19 00:00:00 | 2009-06-19 00:00:00 |      133 | D        |
| rond46     | 1     | 2009-06-20 00:00:00 | 2009-06-19 00:00:00 |      129 | E1       |
| paulb283   | 2     | 2009-06-20 00:00:00 | 2009-06-18 00:00:00 |      122 | D        |
| dave11     | 1     | 2009-06-20 00:00:00 | 2009-06-19 00:00:00 |      134 | D        |
| dave11     | 1     | 2009-06-21 00:00:00 | 2009-06-20 00:00:00 |      138 | D        |
| rond46     | 3     | 2009-06-19 00:00:00 | 2009-06-19 00:00:00 |      125 | E1       |
| rond46     | 4     | 2009-06-19 00:00:00 | 2009-06-19 00:00:00 |      126 | E1       |
| rond46     | 4     | 2009-06-20 00:00:00 | 2009-06-19 00:00:00 |      127 | E1       |
| carolyn2   | 3     | 2009-06-20 00:00:00 | 2009-06-19 00:00:00 |      128 | E2       |
| mauree38   | 3     | 2009-06-19 00:00:00 | 2009-06-19 00:00:00 |      130 | E2       |
| mauree38   | 4     | 2009-06-19 00:00:00 | 2009-06-19 00:00:00 |      131 | E2       |
| mauree38   | 3     | 2009-06-20 00:00:00 | 2009-06-19 00:00:00 |      132 | E1       |
| mikee37    | 3     | 2009-06-20 00:00:00 | 2009-06-20 00:00:00 |      136 | D        |
| mikee37    | 4     | 2009-06-20 00:00:00 | 2009-06-20 00:00:00 |      137 | D        |
| dave11     | 2     | 2009-06-21 00:00:00 | 2009-06-20 00:00:00 |      139 | D        |
| dave11     | 1     | 2009-06-22 00:00:00 | 2009-06-22 00:00:00 |      140 | D        |
| dave11     | 2     | 2009-06-22 00:00:00 | 2009-06-22 00:00:00 |      141 | D        |
| dave11     | 3     | 2009-06-22 00:00:00 | 2009-06-22 00:00:00 |      142 | D        |
| dave11     | 4     | 2009-06-21 00:00:00 | 2009-06-22 00:00:00 |      143 | D        |
